Question,main,sub1,sub2,Description,Description_short,TBD,dim1,dim2,dim3
Q1_1,Q1,1,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ... - Name of person completing this survey",NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",Name of person completing this survey,NA,NA
Q1_2,Q1,2,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ... - Institution",NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",Institution,NA,NA
Q2,Q2,NA,NA,To whom do you report? - Selected Choice,NA,To whom do you report?,Selected Choice,NA,NA
Q2_6_TEXT,Q2,6,TEXT,To whom do you report? - Other: - Text,NA,To whom do you report?,Other:,Text,NA
Q3,Q3,NA,NA,"How
many steps removed from the institution’s president is the leadership (director) of your career center?",NA,"How
many steps removed from the institution’s president is the leadership (director) of your career center?",NA,NA,NA
Q4_1,Q4,1,NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 1",NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 1,NA,NA
Q4_2,Q4,2,NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 2",NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 2,NA,NA
Q4_3,Q4,3,NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 3",NA,"For the 2022-2023 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 3,NA,NA
Q5_1_1,Q5,1,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in paraprofessional roles (peer advisors) - Undergraduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",Students in paraprofessional roles (peer advisors),Undergraduate,NA
Q5_1_2,Q5,1,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in paraprofessional roles (peer advisors) - Graduate",NA,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",Students in paraprofessional roles (peer advisors),Graduate,NA
