Question,main,sub1,sub2,Description,TBD,dim1,dim2,dim3
Q1_1,Q1,1,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ... - Name of person completing this survey","On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",Name of person completing this survey,NA,NA
Q1_2,Q1,2,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ... - Institution","On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",Institution,NA,NA
Q2,Q2,NA,NA,To whom do you report? - Selected Choice,To whom do you report?,Selected Choice,NA,NA
Q2_6_TEXT,Q2,6,TEXT,To whom do you report? - Other: - Text,To whom do you report?,Other:,Text,NA
Q3,Q3,NA,NA,"How
many steps removed from the institution’s president is the leadership (director) of your career center?","How
many steps removed from the institution’s president is the leadership (director) of your career center?",NA,NA,NA
Q4_1,Q4,1,NA,"For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 1","For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 1,NA,NA
Q4_2,Q4,2,NA,"For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 2","For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 2,NA,NA
Q4_3,Q4,3,NA,"For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.) - Measure 3","For the 2023-2024 academic year, which performance measures are most important to your senior leadership (for instance: student engagement, alumni engagement, internship participation, employer engagement, first destination knowledge rate or outcomes, etc.)",Measure 3,NA,NA
Q5_1_1,Q5,1,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in paraprofessional roles (peer advisors) - Undergraduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",Students in paraprofessional roles (peer advisors),Undergraduate,NA
Q5_1_2,Q5,1,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in paraprofessional roles (peer advisors) - Graduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""",Students in paraprofessional roles (peer advisors),Graduate,NA
Q5_2_1,Q5,2,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in administrative roles (front desk, marketing, ER, assessment, et... - Students in administrative roles (front desk, marketing, ER, assessment, etc.) - Undergraduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in administrative roles (front desk, marketing, ER, assessment, et...","Students in administrative roles (front desk, marketing, ER, assessment, etc.)",Undergraduate
Q5_2_2,Q5,2,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in administrative roles (front desk, marketing, ER, assessment, et... - Students in administrative roles (front desk, marketing, ER, assessment, etc.) - Graduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in administrative roles (front desk, marketing, ER, assessment, et...","Students in administrative roles (front desk, marketing, ER, assessment, etc.)",Graduate
Q5_3_1,Q5,3,1,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona... - Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties) - Undergraduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona...","Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Undergraduate
Q5_3_2,Q5,3,2,"Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0."" - Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona... - Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties) - Graduate","Using the chart below, please identify how many students (undergraduate and graduate) work in various roles within your office. If the answer is none for any specific response, please enter ""0.""","Students in ""hybrid"" roles (e.g., student workers have both paraprofessiona...","Students in ""hybrid"" roles (e.g., student workers have both paraprofessional and administrative duties)",Graduate
Q6_1_9,Q6,1,9,"Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department. - Professional staff - Total # of staff (headcount)","Using the chart below, please indicate the total number of professional staff (not students), as well as FT/PT breakdown and full-time equivalents (FTE):


	Please include all open positions 
	Please do not enter fractions (e.g., 1/2) or numbers with decimal points (e.g., .5); enter only whole numbers EXCEPT if necessary when reporting the total full-time equivalent (FTE)
	If your response is ""none"" to any portion of the question, please enter a ""0"". Do not leave blank.



Example 1: Your office has 10 employees. If 8 work full-time (12 months) and 2 work part-time at 30/hours per week (12 months) the breakdown would be as follows:



	
		
			 
			Total # of staff (headcount)
			#FT staff, full year

			(12 months)
			#FT staff, academic

			year (or less than 12 months)
			#PT staff, full year

			(12 months)
			#PT staff, academic

			year (or less than 12 months)
			Total FTE*
		
		
			Professional staff
			10
			8
			0
			2
			0 
			9.5
		
	



*Total FTE: 8 + .75 + .75 = 9.5

We recognize that FTE is not often a straightforward figure; for example, you may have someone who works part-time on a 9, 10 or 11-month contract.  For assistance determining FTE, please consult with your Human Resources department.",Professional staff,Total # of staff (headcount),NA
