Question,main,sub1,sub2,Description,Description_short,dim1,dim2
Q1_1,Q1,1,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",NA,Name of person completing this survey,NA
Q1_2,Q1,2,NA,"On behalf of the LACN Benchmarking Committee, thank you for taking the time to complete this requ...",NA,Institution,NA
Q2,Q2,NA,NA,To whom do you report?,Reporting Structure,Selected Choice,NA
Q2_6_TEXT,Q2,6,TEXT,To whom do you report?,NA,Other:,Text
Q3,Q3,NA,NA,How many steps removed from the institution’s president is the leadership (director) of your career center?,Steps Removed from the President's Office,NA,NA
Q4_3,Q4,3,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",Advisory Boards,Selected Choice,Student
Q4_4,Q4,4,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,Alumni
Q4_5,Q4,5,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,Employer
Q4_6,Q4,6,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,Faculty
Q4_7,Q4,7,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,Staff/Administrative
Q4_8,Q4,8,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,"Mixed (student, alumni, employer, faculty and/or staff)"
Q4_9,Q4,9,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,Other
Q4_10,Q4,10,NA,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Selected Choice,My career center does not have any advisory boards
Q4_9_TEXT,Q4,9,TEXT,"Which of the following types of advisory boards does your career center have (if any)? This could be either a stand-alone committee or a subcommittee of a university governance structure, e.g., a campus-wide advisory board for internships, a subcommittee of an alumni council, etc..  Select all that apply.",NA,Other,Text
Q5_6,Q5,6,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",Important Performance Metrics,Student engagement,NA
Q5_7,Q5,7,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Employer engagement,NA
Q5_8,Q5,8,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Alumni engagement,NA
Q5_9,Q5,9,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Faculty engagement,NA
Q5_10,Q5,10,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Diverse student engagement,NA
Q5_15,Q5,15,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,"Internship (or summer research, etc..) participation",NA
Q5_1,Q5,1,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,First destination data,NA
Q5_16,Q5,16,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,"Alumni destination data (e.g., 5 or 10 year out data)",NA
Q5_11,Q5,11,NA,"Please drag and drop to rank the following performance measures by order of importance to your senior leadership. Rank from highest to lowest importance, with 1 = the most important performance measure.  Please rank all measures.",NA,Student satisfaction,NA
